Section,Column,Formula,Description,Example
FABRIC/S,Cost,=B2*C2,"Cost = Consumption × Price","If B2=2.5 and C2=3.50, then Cost=8.75"
FABRIC/S,Subtotal,=SUM(D2:D10),"Sum of all fabric costs","Sum of all fabric rows"
OTHER FABRIC/S - TRIM/S,Cost,=B2*C2,"Cost = Consumption × Price","If B2=1.0 and C2=2.00, then Cost=2.00"
OTHER FABRIC/S - TRIM/S,Subtotal,=SUM(D2:D10),"Sum of all other fabric costs","Sum of all other fabric rows"
TRIM/S,Cost,=B2*C2,"Cost = Consumption × Price","If B2=5 and C2=0.50, then Cost=2.50"
TRIM/S,Subtotal,=SUM(D2:D10),"Sum of all trim costs","Sum of all trim rows"
OPERATIONS,Cost,=B2*C2*D2,"Cost = SMV × Cost per Minute × Quantity","If B2=0.5, C2=0.15, D2=1000, then Cost=75.00"
OPERATIONS,Subtotal,=SUM(E2:E10),"Sum of all operation costs","Sum of all operation rows"
PACKAGING,Cost,=B2*C2,"Cost = Consumption × Price","If B2=1 and C2=0.25, then Cost=0.25"
PACKAGING,Subtotal,=SUM(D2:D10),"Sum of all packaging costs","Sum of all packaging rows"
OVERHEAD/PROFIT,Cost,=B2*C2,"Cost = Consumption × Price","If B2=1 and C2=0.10, then Cost=0.10"
OVERHEAD/PROFIT,Subtotal,=SUM(D2:D10),"Sum of all overhead costs","Sum of all overhead rows"
TOTALS,Material Total,=Fabric_Subtotal+OtherFabric_Subtotal+Trim_Subtotal,"Sum of all material sections","=SUM(Fabric!D11,OtherFabric!D11,Trim!D11)"
TOTALS,Factory Total,=Operations_Subtotal+Packaging_Subtotal+Overhead_Subtotal,"Sum of all factory sections","=SUM(Operations!E11,Packaging!D11,Overhead!D11)"
